,Time,Latitude,Longitude,Position (m),Speed (km/h),Acceleration (m/s2)
0,3/22/2026 18:53:20.600,31.7748373,-106.5013687,0.0,38.448,-1.5499999999999983
1,3/22/2026 18:53:20.640,31.7748343,-106.5013661,0.4148130152160738,38.16,-1.4749999999999974
2,3/22/2026 18:53:20.680,31.7748313,-106.5013634,0.8353084897835548,37.836,-1.3999999999999968
3,3/22/2026 18:53:20.720,31.7748282,-106.5013607,1.264698273035914,37.764,-1.412500000000001
4,3/22/2026 18:53:20.760,31.7748253,-106.5013581,1.6706028827900234,37.440000000000005,-1.4875000000000038
5,3/22/2026 18:53:20.800,31.7748222,-106.5013556,2.0890064011888616,37.332,-1.5625
6,3/22/2026 18:53:20.840,31.7748192,-106.501353,2.5038194399119087,37.188,-1.612499999999999
7,3/22/2026 18:53:20.880,31.7748163,-106.5013504,2.9097240630484658,36.9,-1.5500000000000003
8,3/22/2026 18:53:20.920,31.7748134,-106.5013479,3.3099628420631415,36.576,-1.399999999999999
9,3/22/2026 18:53:20.960,31.7748105,-106.5013453,3.7158674753672347,36.432,-1.3250000000000006
10,3/22/2026 18:53:21.000,31.7748075,-106.5013428,4.1251380260134844,36.288,-1.3624999999999998
11,3/22/2026 18:53:21.040,31.7748046,-106.5013404,4.519856557387937,36.072,-1.412499999999999
12,3/22/2026 18:53:21.080,31.7748017,-106.5013379,4.920095353773096,35.892,-1.4749999999999999
13,3/22/2026 18:53:21.120,31.7747989,-106.5013352,5.323135967634228,35.64,-1.4375000000000004
14,3/22/2026 18:53:21.160,31.7747961,-106.5013329,5.703307004257896,35.28,-1.362500000000002
15,3/22/2026 18:53:21.200,31.7747932,-106.5013305,6.098025551415648,34.992000000000004,-1.3375000000000026
16,3/22/2026 18:53:21.240,31.7747904,-106.5013281,6.483692866949746,34.884,-1.3375000000000004
17,3/22/2026 18:53:21.280,31.7747876,-106.5013257,6.869360186532733,34.74,-1.3374999999999981
18,3/22/2026 18:53:21.320,31.7747848,-106.5013233,7.255027510164608,34.704,-1.3499999999999979
19,3/22/2026 18:53:21.360,31.7747821,-106.5013209,7.6317550928259275,34.488,-1.4249999999999963
20,3/22/2026 18:53:21.400,31.7747793,-106.5013185,8.017422424410976,34.308,-1.499999999999997
21,3/22/2026 18:53:21.440,31.7747766,-106.5013162,8.388521360655142,33.984,-1.5000000000000013
22,3/22/2026 18:53:21.480,31.7747738,-106.5013138,8.774188700193362,33.732,-1.425000000000003
23,3/22/2026 18:53:21.520,31.7747711,-106.5013115,9.145287644817286,33.66,-1.4500000000000002
24,3/22/2026 18:53:21.560,31.7747684,-106.5013092,9.516386593167681,33.336,-1.5249999999999986
25,3/22/2026 18:53:21.600,31.7747657,-106.5013069,9.887485544455748,33.084,-1.4999999999999993
26,3/22/2026 18:53:21.640,31.774763,-106.5013046,10.258584500259085,32.940000000000005,-1.4874999999999994
27,3/22/2026 18:53:21.680,31.7747604,-106.5013023,10.620726270380999,32.832,-1.5624999999999978
28,3/22/2026 18:53:21.720,31.7747577,-106.5013001,10.986354906710798,32.724000000000004,-1.6999999999999993
29,3/22/2026 18:53:21.760,31.7747552,-106.5012978,11.339663174617067,32.364000000000004,-1.7250000000000032
30,3/22/2026 18:53:21.800,31.7747525,-106.5012956,11.705291816520603,32.112,-1.6750000000000043
31,3/22/2026 18:53:21.840,31.77475,-106.5012934,12.052849864424413,31.86,-1.7124999999999992
32,3/22/2026 18:53:21.880,31.7747474,-106.5012912,12.409383920827793,31.752,-1.7874999999999974
33,3/22/2026 18:53:21.920,31.7747449,-106.501289,12.756941974485638,31.464,-1.7874999999999992
