Time (s),Position (m),Speed (m/s),Acceleration (m/s^2)
0,0,15.93,-0.212499999999998
0.04,0.640135821627859,15.92,-0.137499999999997
0.08,1.26743860962626,15.92,-0.0874999999999959
0.12,1.91638939609847,15.93,-0.0999999999999956
0.16,2.55652518033458,15.93,-0.187499999999996
0.2,3.19666095195465,15.9,-0.2
0.24,3.84561169989827,15.87,-0.125000000000002
0.28,4.46817419301592,15.84,-0.0875000000000004
0.32,5.10830992818371,15.85,-0.0874999999999981
0.36,5.74446479134583,15.84,-0.0874999999999981
0.4,6.37176748078241,15.86,-0.0749999999999984
0.44,7.02071816573481,15.88,-0.137500000000002
0.48,7.66085385038861,15.89,-0.250000000000004
0.52,8.29219318036628,15.88,-0.250000000000004
0.56,8.93232883964358,15.83,-0.150000000000001
0.6,9.56848362910406,15.84,-0.1125
0.64,10.2086192637501,15.83,-0.1
0.68,10.84875488578,15.81,-0.100000000000002
0.72,11.4849096378985,15.81,-0.112500000000006
0.76,12.1033780262658,15.81,-0.100000000000007
0.8,12.752328597467,15.83,-0.125000000000004
0.84,13.3884833114503,15.8,-0.149999999999999
0.88,14.0246380132048,15.77,-0.162499999999999
0.92,14.6607927042664,15.8,-0.187499999999998
0.96,15.2921319015053,15.79,-0.224999999999997
1,15.9208407501899,15.79,-0.262499999999999
1.04,16.5609762634816,15.8,-0.287499999999998
1.08,17.1882787468882,15.76,-0.237499999999997
1.12,17.8155812185602,15.77,-0.162499999999994
1.16,18.4606052248039,15.77,-0.149999999999992
1.2,19.0929499019227,15.77,-0.162499999999997
1.24,19.7242890171585,15.74,-0.1125
1.28,20.3566336699506,15.7,0.012500000000002
1.32,20.9800720598835,15.72,0.0250000000000017
1.36,21.6250960059654,15.69,-0.0124999999999997
1.4,22.2435642083692,15.68,0.0500000000000012
1.44,22.8797187434638,15.68,0.0749999999999984
1.48,23.5084274471795,15.69,-4.44089209850063e-15
1.52,24.1397664815921,15.71,-0.0250000000000017
1.56,24.7721110510655,15.71,0.0624999999999964
1.6,25.4008197205777,15.7,0.137499999999997
1.64,26.0369741962404,15.72,0.0874999999999981
1.68,26.6693187310483,15.73,-0.0375000000000014
1.72,27.2927570052145,15.71,-0.137500000000002
1.76,27.9214656282388,15.69,-0.200000000000005
1.8,28.5576200579576,15.72,-0.300000000000005
1.84,29.1863286564638,15.7,-0.4
1.88,29.8060787475517,15.67,-0.387499999999996
1.92,30.4295169661572,15.71,-0.325
1.96,31.0671984868463,15.76,-0.3
2,31.6959070406996,15.76,-0.237499999999997
2.04,32.330178657273,15.73,-0.0749999999999962
2.08,32.9499286942724,15.69,0.0750000000000028
2.12,33.5751784004692,15.64,0.187500000000003
2.16,34.2004280962099,15.6,0.287500000000003
2.2,34.8256777828953,15.57,0.325
2.24,35.4419186818528,15.53,0.374999999999996
2.28,36.0638895616393,15.53,0.4375
2.32,36.7015709858604,15.59,0.425000000000002
2.36,37.3235418433364,15.64,0.325000000000002
2.4,37.9578133640566,15.69,0.200000000000002
2.44,38.5920848729746,15.74,0.0624999999999987
2.48,39.2200732783419,15.74,-0.0500000000000012
2.52,39.8453228818225,15.74,-0.1
2.56,40.4830042438062,15.73,-0.1125
2.6,41.1049750394512,15.7,-0.0624999999999964
2.64,41.7360145893499,15.7,-0.024999999999995
2.68,42.3548894708601,15.71,-0.0374999999999992
2.72,42.9925707911133,15.75,-0.0875000000000048
2.76,43.6145415478561,15.74,-0.112500000000006
2.8,44.2425298691381,15.75,-0.100000000000002
2.84,44.8768012772287,15.73,-0.0499999999999989
2.88,45.4987720030047,15.71,0.0374999999999992
2.92,46.1298114818349,15.69,0.0374999999999992
2.96,46.7486862918321,15.69,-0.0250000000000017
3,47.3766745644835,15.69,0.0249999999999972
3.04,48.0046628276552,15.69,0.0750000000000006
3.08,48.6326510813472,15.69,0.012500000000002
3.12,49.2669224199513,15.7,-0.0499999999999989
3.16,49.8949106534199,15.7,-0.0624999999999964
3.2,50.520031059046,15.71,-0.0750000000000006
3.24,51.1571428192296,15.73,-0.125000000000004
3.28,51.785131024891,15.74,-0.1875
3.32,52.4131192197769,15.69,-0.162499999999999
3.36,53.0411074064789,15.67,-0.0499999999999989
3.4,53.6635458494659,15.73,-0.0624999999999987
3.44,54.3006575627433,15.71,-0.125
3.48,54.9286457222702,15.68,-0.137500000000002
3.52,55.5537660535166,15.67,-0.187499999999998
3.56,56.1762044588521,15.68,-0.237499999999997
3.6,56.810489568623,15.67,-0.2
3.64,57.4329279580502,15.67,-0.137499999999999
3.68,58.0645700489705,15.65,-0.0624999999999987
3.72,58.6845148215892,15.65,0.0249999999999972
3.76,59.3187998977986,15.67,0.0999999999999979
3.8,59.9504419634426,15.68,0.137499999999999
3.84,60.5728803114247,15.66,0.162499999999999
3.88,61.192825050754,15.62,0.225000000000002
3.92,61.8220099687971,15.58,0.237499999999999
3.96,62.441954692762,15.58,0.174999999999996
4,63.07623971992,15.61,0.0124999999999997
4.04,63.7054246132386,15.62,-0.1125
4.08,64.3346094987495,15.65,-0.0625000000000009
4.12,64.961525317762,15.67,0.0374999999999992
4.16,65.5907101896216,15.73,0.0374999999999992
4.2,66.2198950523598,15.73,0.0250000000000017
4.24,66.8490799072904,15.74,0.0375000000000014
4.28,67.485275272155,15.72,0.0374999999999992
4.32,68.1052199269804,15.67,0.0875000000000026
4.36,68.7321357002829,15.63,0.150000000000001
4.4,69.3590514663252,15.57,0.262500000000001
4.44,69.9766930952229,15.57,0.375000000000003
4.48,70.6128884243308,15.65,0.237499999999999
4.52,71.2398041688241,15.7,-0.0249999999999972
4.56,71.8759994833366,15.73,-0.124999999999995
4.6,72.5008362675998,15.75,-0.137499999999999
4.64,73.1277519912743,15.75,-0.100000000000002
4.68,73.7546677076885,15.74,-0.0250000000000017
4.72,74.3981288164495,15.72,0.0374999999999992
4.76,75.0210786439105,15.7,0.125
4.8,75.6595099965716,15.71,0.162499999999997
4.84,76.2843467396293,15.73,0.124999999999995
4.88,76.9091834760649,15.68,0.137499999999999
4.92,77.5414710593904,15.65,0.2125
4.96,78.1756177804844,15.68,0.187499999999998
5,78.7911490471333,15.69,0.112499999999998
5.04,79.4327779459412,15.73,0.0999999999999979
5.08,80.0557277214868,15.74,0.0874999999999959
5.12,80.6973566080927,15.75,0.0124999999999953
5.16,81.3315032992282,15.77,-0.0874999999999981
5.2,81.9637908371697,15.77,-0.0999999999999934
5.24,82.5960783704307,15.77,-0.0499999999999967
5.28,83.2173349524007,15.75,0.0499999999999989
5.32,83.8589638085013,15.75,0.137499999999999
5.36,84.4802203792692,15.73,0.137500000000002
5.4,85.1202054804551,15.73,0.125000000000002
5.44,85.7508248939903,15.77,0.0875000000000026
5.48,86.3893561084786,15.77,0.012500000000002
5.52,87.0216436023632,15.73,0.0374999999999992
5.56,87.6522629998354,15.72,0.149999999999997
5.6,88.2720217299244,15.74,0.162499999999997
5.64,88.9120067991124,15.76,0.1125
5.68,89.5505379870345,15.8,0.0500000000000012
5.72,90.171794511676,15.81,-0.0250000000000017
5.76,90.8103256893804,15.78,0.0249999999999995
5.8,91.4488568623165,15.78,0.0875000000000026
5.84,92.0861253217296,15.79,0.0500000000000012
5.88,92.7167446803828,15.76,0.0500000000000012
5.92,93.3446069262749,15.77,0.0625000000000031
5.96,93.9831380808191,15.8,0.0250000000000017
6,94.6204065218039,15.79,0.0625000000000009
6.04,95.2482687562602,15.8,0.112500000000002
6.08,95.8867998978619,15.8,0.125
6.12,96.5240683258785,15.79,0.174999999999998
6.16,97.1425259570358,15.82,0.149999999999997
6.2,97.7797943768621,15.81,0.112499999999993
6.24,98.4159923892102,15.8,0.112499999999998
6.28,99.0532608015285,15.79,0.0875000000000026
6.32,99.6905292097517,15.79,0.0750000000000028
6.36,100.325850084567,15.8,0.0500000000000034
6.4,100.963118485965,15.84,0
6.44,101.599316479854,15.84,0.0374999999999992
6.48,102.235514470359,15.86,0.112500000000004
6.52,102.870835331454,15.87,0.112500000000004
6.56,103.507033315805,15.86,0.100000000000005
6.6,104.142354170739,15.86,0.0625000000000053
6.64,104.778552148938,15.84,0.0250000000000017
6.68,105.414750123683,15.82,0.0875000000000004
6.72,106.05007096906,15.82,0.1875
6.76,106.68539181167,15.81,0.237499999999999
6.8,107.32071265157,15.83,0.212500000000002
6.84,107.956033488731,15.88,0.0875000000000026
6.88,108.59067127601,15.91,-0.0124999999999997
6.92,109.225309061233,15.91,-2.22044604925031e-15
6.96,109.8599468444,15.9,0.0874999999999959
7,110.496144798635,15.87,0.174999999999998
7.04,111.130782576319,15.85,0.162500000000001
7.08,111.766103399103,15.88,0.1
7.12,112.40074117199,15.91,0.0874999999999981
7.16,113.03537894282,15.91,0.112499999999998
7.2,113.679462879723,15.9,0.124999999999997
7.24,114.314100646442,15.88,0.137499999999997
7.28,114.948250069932,15.9,0.137499999999997
7.32,115.59233400127,15.92,0.1125
7.36,116.226483421345,15.96,0.0375000000000014
7.4,116.870086176814,15.95,-0.0124999999999997
7.44,117.504723935308,15.9,0.0624999999999987
7.48,118.138873350568,15.91,0.137499999999999
7.52,118.791929602937,15.95,0.0750000000000006
7.56,119.426079015453,15.96,-0.0249999999999995
7.6,120.059935241444,15.95,-0.0249999999999995
7.64,120.694084651903,15.94,0.0375000000000014
7.68,121.327940875835,15.95,0.0625000000000031
7.72,121.971543619519,15.96,0.0375000000000036
7.76,122.605399841393,15.95,0.0375000000000036
7.8,123.248713706132,15.95,0.0375000000000014
7.84,123.882863111804,15.95,0.0124999999999997
7.88,124.526080654919,15.97,-0.012500000000002
7.92,125.178852204095,15.95,-2.22044604925031e-15
7.96,125.812708422538,15.94,0.0374999999999992
8,126.446564640295,15.95,0.0500000000000012
8.04,127.080323099064,15.97,0.0124999999999997
8.08,127.723636959624,15.97,-0.0625000000000053
8.12,128.357395417707,15.97,-0.100000000000007
8.16,129.000709277578,15.97,-0.0750000000000051
8.2,129.64392681721,15.96,-0.0625000000000031
8.24,130.277685274606,15.95,-0.0750000000000028
8.28,130.93036189513,15.96,-0.0500000000000012
8.32,131.564120352526,15.96,-0.0374999999999992
8.36,132.197878809922,15.96,-0.0249999999999995
8.4,132.841192669793,15.97,-0.0375000000000014
8.44,133.474951127875,15.96,-0.0875000000000026
8.48,134.118264988436,15.93,-0.0500000000000012
8.52,134.752023447204,15.93,-0.037499999999997
8.56,135.395337309812,15.95,-0.0624999999999987
8.6,136.029193528255,15.93,-0.0124999999999997
8.64,136.682249771428,15.92,0.0500000000000034
8.68,137.31610599193,15.95,0.0250000000000017
8.72,137.949962213111,15.94,-0.0124999999999997
8.76,138.593276078553,15.96,-0.0500000000000012
8.8,139.236878822237,15.94,-0.0500000000000012
8.84,139.871028232023,15.92,0
8.88,140.514245780711,15.93,0
8.92,141.148883533722,15.9,0.0749999999999984
8.96,141.782739761079,15.93,0.125000000000002
9,142.417377516831,15.94,0.0625000000000031
9.04,143.07043377132,15.95,0.0375000000000014
9.08,143.704583188637,15.94,0.0500000000000012
9.12,144.339220949187,15.94,0.0374999999999992
9.16,144.973370369934,15.92,0.0625000000000009
9.2,145.608008133911,15.94,0.0875000000000026
9.24,146.242645899944,15.92,0.125000000000002
9.28,146.877283668054,15.93,0.187500000000007
9.32,147.521367606348,15.96,0.137500000000006
9.36,148.174898089801,15.97,0.0499999999999989
9.4,148.809535864058,15.95,0.0749999999999984
9.44,149.444856688184,15.97,0.0874999999999959
9.48,150.079494467239,15.96,0.0499999999999989
9.52,150.715692422876,15.95,0.100000000000007
9.56,151.350330207414,15.96,0.150000000000003
9.6,152.00386070569,15.97,0.162499999999994
9.64,152.63849849434,15.99,0.149999999999995
9.68,153.273819332843,16.01,0.124999999999991
9.72,153.910017300786,15.99,0.112499999999993
9.76,154.544655096318,15.98,0.0875000000000048
9.8,155.18873906517,16,0.05000000000001
9.84,155.842932900377,15.99,0.0750000000000051
9.88,156.478253751915,15.98,0.124999999999997
9.92,157.113574606192,16.01,0.0624999999999987
9.96,157.748895463179,16.02,-0.0249999999999995
10,158.384216322933,16.04,-0.0749999999999984
10.04,159.038410172269,16.04,-0.0749999999999984
10.08,159.673731037472,16.06,-0.0624999999999964
10.12,160.309051905441,16.03,-0.0249999999999995
10.16,160.954673245033,16.01,0.0249999999999906
10.2,161.589311071378,16.01,-0.0250000000000106
10.24,162.242841612713,16.04,-0.125
10.28,162.878162490923,16.03,-0.162499999999994
10.32,163.51436049852,16.01,-0.100000000000005
10.36,164.167891048326,16,-0.0375000000000059
10.4,164.803211934752,16,-0.0124999999999997
10.44,165.439409950553,16.02,-0.0749999999999984
10.48,166.08349396467,16.03,-0.174999999999998
10.52,166.737687847122,16.04,-0.212499999999998
10.56,167.373885871127,16.02,-0.199999999999996
10.6,168.008523724201,15.98,-0.1125
10.64,168.643844627059,15.97,-4.44089209850063e-15
10.68,169.29803852082,15.97,-4.44089209850063e-15
10.72,169.93423655573,15.99,-0.0875000000000004
10.76,170.569557467515,15.99,-0.149999999999999
10.8,171.204195334296,16,-0.1875
10.84,171.848952413431,15.96,-0.150000000000001
10.88,172.484273332747,15.95,-0.1
10.92,173.121541785335,15.95,-0.0999999999999979
10.96,173.775735700225,15.95,-0.112499999999998
11,174.411056629125,15.96,-0.199999999999998
